,category,copyright_or_license__information,description,download,language,last_updated,metadata,recorded,speakers,tags,video_origin,youtube_dislikes,youtube_likes,youtube_views,youtube_net_likes
30,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"There are a lot of hurdles to overcome when learning your first programming language - What does this error mean? What's the difference between a for loop and a while loop? How does pass-by-reference evaluation work? What are classes? How do I even begin to turn this task into a working program?
Python is widely used as a language for learning to program, and for good reasons, but there are still plenty of ways that students can get stuck, both in learning the language, and in learning more abstract programming concepts.
This talk will present a number of challenges frequently faced by beginner students in a university course which teaches students Python from the ground up, and how the course material was redesigned both to make it easier for students to learn, but also to ensure that students encountered all of the necessary challenges so that they'd have something to learn.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Jackson Gatenby,,http://www.youtube.com/watch?v=qf8DXDEWnaw,0.0,3.0,403.0,3.0
31,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Python is graced with flexible, easy to use data structures that are at your fingertips every time you start a command prompt. Lists, dictionaries and tuples are our friends. However, sometimes you want more than what they can give.
While subclassing is a great approach, often what you want has already been written. Most often, it’ll be waiting for you within the standard library. This talk will be a tour of some of what awaits you. Don’t be the next person to recreate an ordered dictionary.
Within the collections module, as well as other places within the standard library, you’ll find lots of functionality. Using these data structures can lead to simpler, more robust code.
As well as explaining how to use some of the data structures that we encounter, we’ll also be checking through open source code to see how they are used in the real world. This will give us insight into how other programmers are using them. Hopefully",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Tim McNamara,,http://www.youtube.com/watch?v=QQkbiGIQi4g,0.0,1.0,305.0,1.0
32,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Unknown,,http://www.youtube.com/watch?v=W0W0s0-Ryc0,1.0,2.0,234.0,1.0
33,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"In this talk, Anna will argue how physical computing — building interactive systems such as robots that sense and act upon, or respond to the physical world — provides an ideal application space for teaching and learning programming concepts and problem solving; that appeals to a diverse audience; and that can provide a positive introduction to the world of open source software and hardware.
Drawing on her experiences teaching introductory programming with Arduino-based robots, Anna will step through a tutorial demonstrating how to develop a mobile PyBot - a robot programmed using Python and the Firmata protocol, and will provide tips to help you or the apprentice coders in your life to take the first steps towards a lifetime of loving to code.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Anna Gerber,,http://www.youtube.com/watch?v=3birX_l-YZ8,1.0,3.0,285.0,2.0
34,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"In an ideal world, you can join on candidate keys, names are never misspelt, people never move house, and I have a pony. I don’t have a pony. But we do have record linkage. 
Record linkage (also known as data linkage or fuzzy record matching) is a naive Bayes algorithm which matches data about individuals across databases or within a single database, by constructing the probabilities that two records apply to the same individual or to different individuals.
In this talk I will discuss the techniques of record linkage in Python, the usefulness and the limitations of linkage, and the effect that this technique is having on healthcare research in particular.
Healthcare/epidemiology studies often require data from more than one source, and individuals frequently have multiple interactions with a data set without a unique identifier. The outcomes of these studies are only as good as the record linkage which underlies them, so the ways in which record linkage is done can have a direct impact on our ability to understand, prevent and treat serious medical conditions.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Rhydwyn Mcguire,,http://www.youtube.com/watch?v=cEcVIjyHfiQ,1.0,2.0,158.0,1.0
35,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Docker (http://docker.io) is the hot-new-thing out there for running your application in development and in production. Here at Infoxchange, we are extremely excited about how Docker allows a build-once, run-anywhere approach to moving applications from testing through to production. We are one of the first organisations to be using Docker in production on high-SLA applications.
In this talk we will present:
If time permits we will try and cover the additional bonus topics:
The talk will be presented by Danielle Madeley and Alexey Kotlyarov.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Alexey Kotlyarov and Danielle Madeley,,http://www.youtube.com/watch?v=SgL8r--p97s,2.0,2.0,1248.0,0.0
36,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Python Asynchronous Frameworks are plentiful in the Python Community. There is Twisted, gevent, Tornado, asynccore and now with Python 3.4, asyncio. circuits is not yet another Asynchronous Framework (although it does support Async I/O) but a strong well defined Component Architecture for building complex software with changing requirements. If you have ever developed with Zope or Kamaelia you will be familiar with the ""Component"" concept. circuits offers a unique perspective on Component Architectures and offers a novel way to design, implement and deploy complex software.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,James Mills,,http://www.youtube.com/watch?v=DGrbp0LOH84,1.0,1.0,147.0,0.0
37,PyCon AU 2014,http://www.youtube.com/t/terms,"This talk is all about random numbers--What are they? What different kinds are there?  What are they useful for?  And why are computers really bad at them?  Come learn all about random numbers, both the good and the bad.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Larry Hastings,,http://www.youtube.com/watch?v=PRbfdK2Xxh0,1.0,4.0,144.0,3.0
38,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Come to this talk if you want to learn a few basic techniques for putting numerical data in context. If you've ever predicted anything, or tried to work out whether some number was ""good enough"", you'll probably get something out of this presentation. All techniques and tools demonstrated using Python.
Every day, decisions both big and small are made on the basis of the information published by the Bureau of Meteorology. These include simple decisions such as taking an umbrella or planning a barbecue. Our forecasts also inform Australia's emergency services on where extreme weather events may have occurred, to help with planning and preparation.
Understanding and communicating our strengths and weaknesses is very important, both as an organisation and also internally within the Environment and Research division. This presentation will focus on the statistical methods and systems used to evaluate the objective, scientific performance of our forecast systems. The name for this area of study is ""Verification"". While the concepts have come from the research environment, they are widely applicable and can help anyone who is assessing the performance of any system.
This presentation will include:
  -- An overview of the major ideas of verification
  -- How to create a 'skill score'
  -- The application of these concepts to thunderstorm forecasting
  -- How to use Python tools for verification analyses
  -- Tips on how to apply these ideas easily in other contexts
Obtaining relevant thunderstorm observational data can be particularly challenging, particularly pertaining to severe and damaging aspects: lightning, hail, heavy rain and very strong wind gusts. In order achieve a stronger footing, some new methods of analysis are under development. It is necessary to establish the scientific validity of the verification metrics at the same time as constructing the systems to support the data analysis.
A prototype web-based tool written in Python (and under active development by the presenter) will be demonstrated. This tool can run locally to provide an enhanced lab environment for assessing case study data, or be set up as a server for continuous monitoring and reporting.
No pre-existing knowledge of Python or statistics is assumed. The talk will include several technical aspects, such as working at different computing scales, usability and user experience, working with statistical algorithms, data visualisation for both web and journal publications, and the architectural challenges of a complex application.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Tennessee Leeuwenburg,,http://www.youtube.com/watch?v=c0DE_UfRiXE,1.0,1.0,155.0,0.0
39,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"The Python 3.4 standard library contains a new module called ""asyncio"" (formerly ""tulip""), which allows you to write single-threaded asynchronous code based on PEP 3156. This presentation will begin with an outline of what asyncio provides and how to use it, highlighting the kinds of use cases that it was designed for. The presentation will then go through a number of example use cases and within the context of these use cases, will compare asyncio with Twisted, one of the existing libraries for asynchronous programming. Finally, the presentation will touch on the question of interoperability between asyncio and libraries like Twisted, Pyramid and gevent.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Josh Bartlett,,http://www.youtube.com/watch?v=N4YjNKSQVAI,1.0,10.0,795.0,9.0
